Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y
0,6.75982,0,INVALID,INVALID,0,INVALID, INVALID
24.69289,1.843639,3.879593,-0.01861984,0.1041882,3.707367,-0.2362412, 0.1193218
24.70463,1.846653,3.870911,-0.01850218,0.1035529,3.72316,-0.2355654, 0.1191066
24.71545,1.857172,3.872711,-0.01850218,0.1030985,3.727493,-0.2372962, 0.1191066
24.72678,1.843658,3.884689,-0.01861984,0.1033257,3.7146,-0.2380371, 0.1188915
24.73829,1.841337,3.894943,-0.01873749,0.1035529,3.726563,-0.2375979, 0.1184906
24.74909,1.833108,3.896454,-0.01873749,0.1032489,3.739059,-0.2366999, 0.1184906
24.761,1.855492,3.906113,-0.01908767,0.1035529,3.727249,-0.2364444, 0.1184906
24.77966,1.903839,3.896683,-0.01908767,0.1032489,3.715042,-0.2366477, 0.1180897
24.78552,1.924529,3.896866,-0.01915985,0.1032489,3.740189,-0.2366477, 0.1180897
24.79445,2.046679,3.906448,-0.01915985,0.1033363,3.741669,-0.2366477, 0.1188915
24.80509,2.156699,3.918594,-0.01918709,0.1033363,3.741196,-0.2366477, 0.1180897
24.81612,2.257495,3.920471,-0.01918709,0.1033363,3.738922,-0.2369406, 0.117982
24.82707,2.377147,3.921356,-0.01918709,0.1033363,3.737946,-0.2371587, 0.117982
24.83853,2.495163,3.911987,-0.01918709,0.1033363,3.727554,-0.2371587, 0.117982
24.84958,2.603595,3.913651,-0.01918709,0.1033363,3.737793,-0.2369406, 0.1184458
24.86108,2.720195,3.908051,-0.01908767,0.1033106,3.728165,-0.2369406, 0.1185774
24.87228,2.814097,3.898727,-0.01918709,0.1033363,3.708099,-0.2372069, 0.1187289
24.88337,2.897226,3.995865,-0.02537096,0.1090748,3.733566,-0.2393349, 0.1224678
24.89508,3.012747,3.930893,-0.02758271,0.106936,3.83876,-0.2384746, 0.1257265
24.90555,3.106741,3.952988,-0.0329029,0.10927,3.725616,-0.2423841, 0.1221077
24.91747,3.187834,4.110931,-0.03070045,0.1300948,3.794754,-0.2459242, 0.1347063
24.93915,3.287378,3.999771,-0.03180641,0.1251732,3.754166,-0.2475821, 0.1349642
24.94451,3.354438,3.999771,-0.03180641,0.1251732,3.754166,-0.2475821, 0.1349642
24.94966,3.430056,3.954971,-0.03332764,0.118627,3.775085,-0.2477444, 0.1343296
24.9586,3.494963,3.950302,-0.03326553,0.1179349,3.669067,-0.2519629, 0.133122
24.97015,3.558194,3.939331,-0.03832948,0.1194779,3.712311,-0.2512798, 0.1337059
24.98084,3.615253,4.006836,-0.03832948,0.1215407,3.691101,-0.2552901, 0.1307746
24.99204,3.688201,3.975189,-0.03871191,0.1213941,3.69548,-0.2545795, 0.1313996
25.0039,3.742173,3.94223,-0.03909439,0.1212475,3.698761,-0.2538688, 0.131933
25.01422,3.794577,3.937149,-0.03909439,0.1194779,3.693771,-0.2538688, 0.1320247
25.02547,3.913035,3.937012,-0.03871191,0.1199304,3.702133,-0.2544502, 0.1321936
25.03672,4.02544,3.935593,-0.03909439,0.1194779,3.697723,-0.2550318, 0.1323625
25.0476,4.117065,3.929031,-0.03932524,0.1190557,3.704941,-0.2551609, 0.1325188
25.0587,4.233356,3.907425,-0.03968477,0.1179753,3.723892,-0.2595501, 0.13065
25.07038,4.331635,3.762283,-0.04908174,0.1117486,3.802444,-0.2638525, 0.1322066
25.08986,4.412783,3.611237,-0.05692536,0.1125761,3.79863,-0.2629464, 0.1299717
25.09558,4.510036,3.592865,-0.05518585,0.1099222,3.832611,-0.2626735, 0.1299213
25.10392,4.606734,3.713242,-0.05084038,0.1122358,3.804504,-0.2629464, 0.1298708
25.1143,4.702371,3.833603,-0.04980469,0.1175166,3.801743,-0.2641255, 0.1297736
25.12519,4.815813,3.786499,-0.04980469,0.1154109,3.797333,-0.264393, 0.1297736
25.13674,4.951569,3.860504,-0.048769,0.1185859,3.799576,-0.2634814, 0.1298708
25.14769,5.056496,3.785645,-0.04980469,0.1154109,3.80159,-0.264393, 0.1298153
25.15873,5.167983,3.696533,-0.05171889,0.1116449,3.793869,-0.2680707, 0.1281642
25.17015,5.330739,3.706589,-0.0520857,0.1100163,3.80397,-0.2682291, 0.1292029
25.1811,5.455517,3.713593,-0.06141418,0.1165109,3.831604,-0.2689582, 0.1306016
25.19232,5.603139,3.814331,-0.05444288,0.1122301,3.99324,-0.2702399, 0.1379509
25.20364,5.735291,4.09671,-0.05412781,0.1305863,4.074463,-0.2718825, 0.1389019
25.21441,5.866847,3.842056,-0.06546694,0.1118166,3.899918,-0.2705031, 0.1269917
25.226,5.985331,3.862823,-0.06293887,0.1212859,3.9888,-0.2736495, 0.1327562
25.24679,6.075981,3.765244,-0.06367952,0.1121467,3.964157,-0.2738122, 0.1356403
25.25223,6.185319,3.765244,-0.06367952,0.1121467,3.964157,-0.2738122, 0.1356403
25.25847,6.29887,3.801727,-0.06485611,0.1220587,3.961411,-0.2738122, 0.1356403
25.27048,6.397267,3.773758,-0.06449246,0.1141322,3.96579,-0.2743698, 0.1345465
25.28105,6.536003,3.784851,-0.07275742,0.1158533,3.993423,-0.2752948, 0.1360755
25.29218,6.659593,3.873642,-0.06585693,0.1244243,4.014435,-0.2756621, 0.1356403
25.30357,6.787572,3.925034,-0.06388664,0.1224651,3.990433,-0.2762539, 0.1349351
25.31473,6.919151,3.882019,-0.06701642,0.1159034,3.971909,-0.2771126, 0.1338722
25.32616,7.037807,3.845612,-0.06639266,0.1170038,3.978027,-0.2773794, 0.13423
25.33749,7.133045,3.858887,-0.07434547,0.1142188,3.99173,-0.2775437, 0.1343544
25.35056,7.242202,3.835968,-0.07427329,0.1094393,3.91716,-0.282622, 0.1328833
25.35959,7.347504,3.826263,-0.08104563,0.1157031,3.921143,-0.2854471, 0.1344228
25.37144,7.433936,4.009186,-0.07313341,0.1261368,3.875854,-0.2889671, 0.1329767
25.38262,7.518287,3.911835,-0.07838559,0.120408,3.865372,-0.2884768, 0.1354744
25.40297,7.596088,3.911835,-0.07838559,0.120408,3.865372,-0.2884768, 0.1354744
25.40894,7.657894,3.868973,-0.08077896,0.1167151,3.878342,-0.2889987, 0.136824
25.41539,7.723394,3.868637,-0.08498812,0.1167151,3.892273,-0.2903061, 0.1377465
25.42683,7.765905,3.846893,-0.08680397,0.117044,3.890854,-0.2910914, 0.1376626
25.43789,7.818718,3.826981,-0.08595324,0.1150331,3.892029,-0.2914575, 0.1376269
25.44858,7.838707,3.844284,-0.0873974,0.1170935,3.895096,-0.2914575, 0.1376269
25.45978,7.86155,3.852768,-0.08799082,0.1171431,3.896866,-0.2910914, 0.1376626
25.471,7.887254,3.848572,-0.08819944,0.1185489,3.920547,-0.2914575, 0.1379181
25.48184,7.880768,3.830704,-0.08847433,0.117447,3.926605,-0.2918925, 0.138212
25.49319,7.89226,3.819809,-0.08854049,0.1177509,3.913101,-0.2919615, 0.1381736
25.50484,7.874969,3.81572,-0.08878118,0.117447,3.916382,-0.2920101, 0.1379181
25.51526,7.889859,3.812088,-0.09001976,0.1171431,3.919769,-0.2934966, 0.1381736
25.52663,7.883677,3.808884,-0.0900296,0.1177509,3.919464,-0.2942965, 0.1376626
25.5387,7.89044,3.796143,-0.09264022,0.1171431,3.91925,-0.2950441, 0.1376626
25.55925,7.904732,3.773621,-0.093916,0.1177509,3.919403,-0.2957729, 0.1375912
25.5651,7.92505,3.773895,-0.09477043,0.1177509,3.921021,-0.2958997, 0.1376632
25.57113,7.927101,3.774429,-0.09477043,0.118251,3.919632,-0.2961609, 0.1376632
25.58144,7.955307,3.77417,-0.09483522,0.1179544,3.908798,-0.296434, 0.1376632
25.59249,7.940471,3.77507,-0.09526885,0.1179544,3.908157,-0.2979966, 0.1371906
25.60372,7.962339,3.764465,-0.09561068,0.118251,3.90506,-0.2980441, 0.1371634
25.61463,7.956536,3.776306,-0.09561068,0.118251,3.906387,-0.2983733, 0.1366905
25.62566,7.964926,3.76561,-0.09638184,0.1179544,3.912918,-0.2992213, 0.1350282
25.63718,7.951485,3.765411,-0.09704852,0.1179544,3.913864,-0.2992551, 0.135401
25.64777,8.0075,3.765808,-0.09704852,0.1179544,3.916809,-0.2992551, 0.135401
25.65923,8.05241,3.793259,-0.09829468,0.1179544,3.910858,-0.2995254, 0.1350282
25.6702,8.09711,3.802917,-0.09918404,0.1183772,3.910828,-0.2992551, 0.1350282
25.68116,8.135601,3.814743,-0.09829468,0.1179544,3.910812,-0.2995908, 0.135401
25.6926,8.14834,3.861832,-0.09918404,0.1176894,3.913986,-0.2999869, 0.135401
25.71246,8.181735,3.861832,-0.09918404,0.1176894,3.913986,-0.2999869, 0.135401
25.71782,8.206963,3.860825,-0.09931093,0.1167587,3.912292,-0.3010417, 0.135401
25.72538,8.241567,3.846176,-0.09931093,0.1157705,3.911377,-0.3013353, 0.135401
25.73719,8.283324,3.845474,-0.09829593,0.1157705,3.910263,-0.3014194, 0.135401
25.74818,8.32693,3.845474,-0.09829593,0.1157705,3.910355,-0.3016317, 0.135401
25.75898,8.382697,3.859009,-0.09734273,0.1167587,3.904175,-0.3018124, 0.1354422
25.77066,8.434387,3.853058,-0.0971089,0.1157705,3.902405,-0.301854, 0.1352674
25.78145,8.452868,3.848541,-0.0971089,0.1153034,3.902206,-0.3026208, 0.1354422
25.79248,8.480968,3.832428,-0.0969069,0.1151007,3.899475,-0.3030992, 0.1352674
25.80395,8.479298,3.832458,-0.0969069,0.1151007,3.89917,-0.3034648, 0.1349056
25.81451,8.472825,3.831696,-0.0971089,0.1151007,3.898895,-0.3035774, 0.1346387
25.82582,8.502984,3.830902,-0.09734273,0.1151007,3.882462,-0.30428, 0.1341531
25.837,8.552033,3.82785,-0.0971089,0.1153034,3.878555,-0.3044299, 0.1338487
25.84841,8.591398,3.826233,-0.09768295,0.1153034,3.881058,-0.3051897, 0.1338487
25.86845,8.641035,3.826233,-0.09768295,0.1153034,3.881058,-0.3051897, 0.1338487
25.8744,8.657431,3.844284,-0.09847009,0.1153034,3.874741,-0.3052098, 0.1338305
25.88116,8.708755,3.827301,-0.09881574,0.1153034,3.876541,-0.305608, 0.1325961
25.89247,8.724977,3.825226,-0.09889603,0.1160114,3.877945,-0.3061045, 0.1338305
25.904,8.755498,3.828705,-0.09962845,0.1161511,3.916595,-0.3064365, 0.1338487
25.91463,8.770202,3.843826,-0.09975183,0.1177154,3.930237,-0.3080141, 0.133628
25.92616,8.779046,3.844696,-0.0999552,0.1177154,3.930328,-0.3082388, 0.133628
25.93739,8.782516,3.882507,-0.0999552,0.1179877,3.933624,-0.3082388, 0.133628
25.94854,8.807553,3.828644,-0.1001352,0.1179877,3.941742,-0.3084419, 0.13489
25.96014,8.819515,3.828568,-0.1004592,0.1177154,3.94696,-0.3089651, 0.1352402
25.97153,8.825032,3.827927,-0.1004592,0.1171944,3.904373,-0.309236, 0.1352402
