Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
4.246691,0.7118041,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.258099,0.8724428,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.270412,1.06612,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.280461,1.172559,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.291762,1.292614,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.303591,1.35946,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.313791,1.449621,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.324568,1.485414,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.336009,1.486188,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.346596,1.441097,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.358157,1.42244,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.370096,1.418399,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.380139,1.365452,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.393004,1.375763,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.402346,1.363079,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.41354,1.316532,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.426035,1.220542,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.435872,1.131579,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.444898,1.011018,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.456327,0.9116812,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.46835,0.8195374,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.47873,0.7184115,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.490128,0.6358941,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.50108,0.5762425,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.512917,0.5066969,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.523479,0.4652853,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.535187,0.4414581,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.544915,0.4280339,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.556541,0.464558,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.567812,0.5193021,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.57876,0.5892774,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.589742,0.6685723,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
4.600769,0.7599101,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
