Time, Head Rotation, Left Pupil Size, Left Pupil Position X, Left Pupil Position Y, Right Pupil Size, Right Pupil Position X, Right Pupil Position Y, Direction X, Direction Y
0,-10.51456,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.02,-10.51459,0,INVALID,INVALID,0,0.8783914, 0.4348804,INVALID,INVALID
0.04,-10.47989,2.431274,0.04424357,-0.0003077984,2.016556,-0.2637808, -0.01230574,INVALID,INVALID
0.3733333,-1.338684,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4221294,-0.1409607,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
0.4368736,-0.119873,0,INVALID,INVALID,0,INVALID, INVALID,INVALID,INVALID
1.258548,1.501204,3.524338,0.1050026,0.00562495,3.46315,-0.2207596, 0.01619112,-0.7035998,-3.11395
1.269793,1.523593,3.532974,0.1027161,0.009867191,3.468414,-0.2206927, 0.01579356,-0.717643,-2.721748
1.281187,1.554657,3.511169,0.09946001,0.004797816,3.469208,-0.2207189, 0.015643,-0.9240804,-3.090285
1.292257,1.600897,3.493362,0.1033711,0.003904879,3.473053,-0.2207596, 0.0156042,-0.5602303,-3.040408
1.303321,1.637632,3.475128,0.09972799,0.006344378,3.484482,-0.2208005, 0.01554322,-0.8086666,-2.780378
1.314757,1.690613,3.608383,0.1017079,0.005091786,3.484909,-0.2208005, 0.01544738,-0.4921804,-2.681537
1.325868,1.747663,3.457214,0.1024597,0.004245698,3.487015,-0.2209063, 0.01494873,-0.3471792,-2.720021
1.33671,1.798656,3.463577,0.11589,0.004571617,3.546448,-0.2120348, 0.01895738,0.6661724,-2.9817
1.348207,1.852597,3.658783,0.1445634,0.01731181,3.612198,-0.1818062, 0.02836835,3.808532,-1.275642
1.358944,1.8983,3.760284,0.1855148,0.02684051,3.490982,-0.1515248, 0.03535599,5.472532,-2.402326
1.370686,1.958037,3.852997,0.2455096,0.04626739,3.292267,-0.09225869, 0.05084276,9.40218,-1.461123
1.381406,2.009619,3.610672,0.2770752,0.04421663,3.218323,-0.06979781, 0.05315185,12.86425,-0.7543329
1.392257,2.071231,3.578339,0.2934092,0.04832059,3.099503,-0.05264878, 0.05074906,14.36565,-0.6626383
1.403301,2.114917,3.709824,0.3088875,0.05238831,3.156052,-0.05009216, 0.05098265,16.50264,0.873349
1.414811,2.157879,3.728943,0.2988667,0.05035257,3.099731,-0.04614234, 0.04461318,15.10882,-0.6957693
1.425489,2.192193,3.571503,0.3042489,0.04771727,3.128174,-0.04689509, 0.04937178,12.89486,-2.196687
1.436681,2.202218,3.565109,0.3008444,0.04642403,3.152573,-0.0449779, 0.04764086,13.54149,-1.955247
1.447919,2.213161,3.664337,0.3097512,0.04594058,2.889969,-0.04019898, 0.04779327,13.07702,-2.348104
1.459229,2.201264,3.578003,0.3262315,0.03956991,3.016342,-0.02261764, 0.04360169,15.21399,-2.089097
1.470244,2.210624,3.485657,0.3711886,0.04474044,2.648743,0.01856768, 0.04185897,15.86728,-3.637658
1.481272,2.214857,3.583237,0.3891683,0.03455848,2.392563,0.03369355, 0.0349611,15.52761,-5.511178
1.492178,2.236118,3.792755,0.4165967,0.02490252,2.684204,0.03705323, 0.0330047,16.48714,-5.150238
1.503336,2.251236,4.030792,0.4201633,0.02787262,2.662308,0.03811991, 0.03650784,16.4937,-4.621181
1.514604,2.28172,3.920074,0.4247671,0.03380919,2.647736,0.03642619, 0.03865033,16.02641,-4.699238
1.526139,2.321213,3.958679,0.4140902,0.03362215,2.719803,0.03746867, 0.03907174,17.12736,-4.323909
1.5368,2.364247,4.089127,0.411043,0.03454036,2.946426,0.03513205, 0.04260206,18.14756,-3.401164
1.548248,2.413369,4.037766,0.4092981,0.03947848,2.998901,0.03382516, 0.04538709,18.21215,-2.908249
1.559312,2.461611,3.735535,0.3967483,0.04270291,2.973419,0.03301883, 0.04709089,18.06021,-2.645601
1.570466,2.520489,3.820786,0.4041623,0.03922713,2.950867,0.03317428, 0.0454523,18.13107,-2.962533
1.581464,2.572966,4.057892,0.4092981,0.03897589,2.9543,0.03317523, 0.04538709,18.06376,-3.017594
