Time, Background Direction, Background Speed, SVH: From30, SVH: Current, Pupil Size
0,Clockwise,10,30,30.52627,3.187424
0,Clockwise,10,30,30.48611,3.183937
0,Clockwise,10,30,30.44353,3.173737
0,Clockwise,10,30,30.35855,3.167107
0,Clockwise,10,30,30.31329,3.156525
0,Clockwise,10,30,30.269,3.154358
0,Clockwise,10,30,30.19074,3.152122
0,Clockwise,10,30,30.15228,3.135574
0,Clockwise,10,30,30.11238,3.122215
0,Clockwise,10,30,30.02758,3.121155
0,Clockwise,10,30,29.97308,3.121025
0,Clockwise,10,30,29.9347,3.120613
0,Clockwise,10,30,29.85825,3.120766
0,Clockwise,10,30,29.8124,3.121773
0,Clockwise,10,30,29.76351,3.131691
0,Clockwise,10,30,29.68494,3.144386
0,Clockwise,10,30,29.6402,3.144279
0,Clockwise,10,30,29.59447,3.151146
0,Clockwise,10,30,29.51468,3.142418
0,Clockwise,10,30,29.47383,3.153725
0,Clockwise,10,30,29.43056,3.161217
0,Clockwise,10,30,29.35737,3.151367
0,Clockwise,10,30,29.31683,3.148552
0,Clockwise,10,30,29.27125,3.152496
0,Clockwise,10,30,29.18951,3.147545
0,Clockwise,10,30,29.1476,3.150932
0,Clockwise,10,30,29.10093,3.164284
0,Clockwise,10,30,29.02265,3.176353
0,Clockwise,10,30,28.97416,3.025681
0,Clockwise,10,30,28.92909,3.215393
0,Clockwise,10,30,28.85308,3.172356
0,Clockwise,10,30,28.81131,3.199471
0,Clockwise,10,30,28.76533,3.162094
0,Clockwise,10,30,28.67878,3.239014
0,Clockwise,10,30,28.63736,3.262337
0,Clockwise,10,30,28.59592,3.233109
0,Clockwise,10,30,28.51952,3.237656
0,Clockwise,10,30,28.47833,3.240509
0,Clockwise,10,30,28.43244,3.237396
0,Clockwise,10,30,28.34859,3.234695
0,Clockwise,10,30,28.30046,3.236641
0,Clockwise,10,30,28.25663,3.234497
0,Clockwise,10,30,28.17757,3.242378
0,Clockwise,10,30,28.13321,3.239105
0,Clockwise,10,30,28.0928,3.250908
0,Clockwise,10,30,28.01807,3.272804
0,Clockwise,10,30,27.96604,3.274651
0,Clockwise,10,30,27.89422,3.275124
0,Clockwise,10,30,27.84958,3.279694
0,Clockwise,10,30,27.80411,3.275108
0,Clockwise,10,30,27.76374,3.269806
0,Clockwise,10,30,27.69142,3.270103
0,Clockwise,10,30,27.65137,3.268295
0,Clockwise,10,30,27.60885,3.268204
0,Clockwise,10,30,27.52825,3.241394
0,Clockwise,10,30,27.49073,3.241554
0,Clockwise,10,30,27.44309,3.247238
0,Clockwise,10,30,27.36019,3.245613
0,Clockwise,10,30,27.3197,3.24511
0,Clockwise,10,30,27.27585,3.241791
0,Clockwise,10,30,27.18742,3.246025
0,Clockwise,10,30,27.14445,3.244179
0,Clockwise,10,30,27.09914,3.242638
0,Clockwise,10,30,27.02467,3.249725
0,Clockwise,10,30,26.97956,3.249451
0,Clockwise,10,30,26.90518,3.249878
0,Clockwise,10,30,26.86323,3.249359
0,Clockwise,10,30,26.82054,3.252174
0,Clockwise,10,30,26.77505,3.254051
0,Clockwise,10,30,26.68589,3.25827
0,Clockwise,10,30,26.64485,3.257988
0,Clockwise,10,30,26.56329,3.260452
0,Clockwise,10,30,26.51477,3.26017
0,Clockwise,10,30,26.46833,3.257027
0,Clockwise,10,30,26.39692,3.255089
0,Clockwise,10,30,26.35253,3.256134
0,Clockwise,10,30,26.31125,3.254753
0,Clockwise,10,30,26.24059,3.248978
0,Clockwise,10,30,26.19061,3.234489
0,Clockwise,10,30,26.14372,3.241364
0,Clockwise,10,30,26.07401,3.236038
0,Clockwise,10,30,26.03244,3.235542
0,Clockwise,10,30,25.99139,3.234909
0,Clockwise,10,30,25.94484,3.229874
0,Clockwise,10,30,25.94484,3.241119
0,Clockwise,10,30,25.94484,3.244087
0,Clockwise,10,30,25.94484,3.225853
0,Clockwise,10,30,25.94484,3.231087
0,Clockwise,10,30,25.94484,3.224426
0,Clockwise,10,30,25.94484,3.224915
0,Clockwise,10,30,25.94484,3.222374
0,Clockwise,10,30,25.94484,3.224869
0,Clockwise,10,30,25.94484,3.223198
0,Clockwise,10,30,25.94484,3.220535
0,Clockwise,10,30,25.94484,3.22113
0,Clockwise,10,30,25.94484,3.229721
0,Clockwise,10,30,25.94484,3.229057
0,Clockwise,10,30,25.94484,3.225166
0,Clockwise,10,30,25.94484,3.271942
0,Clockwise,10,30,25.94484,3.278
0,Clockwise,10,30,25.94484,3.296547
0,Clockwise,10,30,25.94484,3.319565
0,Clockwise,10,30,25.94484,3.283867
0,Clockwise,10,30,25.94484,3.293419
0,Clockwise,10,30,25.94484,3.222733
0,Clockwise,10,30,25.94484,3.279671
0,Clockwise,10,30,25.94484,3.331123
0,Clockwise,10,30,25.94484,3.272812
0,Clockwise,10,30,25.94484,3.304649
0,Clockwise,10,30,25.94484,3.286377
0,Clockwise,10,30,25.94484,3.30394
0,Clockwise,10,30,25.94484,3.3256
0,Clockwise,10,30,25.94484,3.255508
