Time, Background Direction, Background Speed, SVV: From30, SVV: Current, Pupil Size
0,Clockwise,10,30,20.03331,3.888535
0,Clockwise,10,30,19.95012,3.894966
0,Clockwise,10,30,19.90336,3.885376
0,Clockwise,10,30,19.852,3.903542
0,Clockwise,10,30,19.76396,3.970039
0,Clockwise,10,30,19.7137,3.970039
0,Clockwise,10,30,19.58233,3.397797
0,Clockwise,10,30,19.53271,4.395943
0,Clockwise,10,30,19.44552,4.12207
0,Clockwise,10,30,19.32823,4.474052
0,Clockwise,10,30,19.23481,4.391594
0,Clockwise,10,30,19.1852,4.404976
0,Clockwise,10,30,19.09859,4.454796
0,Clockwise,10,30,19.04524,4.273712
0,Clockwise,10,30,18.95827,4.443169
0,Clockwise,10,30,18.91272,4.448708
0,Clockwise,10,30,18.86277,4.407257
0,Clockwise,10,30,18.78594,4.421921
0,Clockwise,10,30,18.74072,4.440216
0,Clockwise,10,30,18.74072,4.426826
0,Clockwise,10,30,18.74072,4.444992
0,Clockwise,10,30,18.74072,4.452408
0,Clockwise,10,30,18.74072,4.447754
0,Clockwise,10,30,18.74072,4.440926
0,Clockwise,10,30,18.74072,4.443741
0,Clockwise,10,30,18.74072,4.432556
0,Clockwise,10,30,18.74072,4.408295
0,Clockwise,10,30,18.74072,4.404114
0,Clockwise,10,30,18.74072,4.39505
0,Clockwise,10,30,18.74072,4.400948
0,Clockwise,10,30,18.74072,4.401283
0,Clockwise,10,30,18.74072,4.392731
0,Clockwise,10,30,18.74072,4.288101
0,Clockwise,10,30,18.89066,4.313202
0,Clockwise,10,30,18.95339,4.310478
0,Clockwise,10,30,19.01426,4.308258
0,Clockwise,10,30,19.07209,4.315285
0,Clockwise,10,30,19.12636,4.3312
0,Clockwise,10,30,19.18274,4.335899
0,Clockwise,10,30,19.23725,4.337723
0,Clockwise,10,30,19.29116,4.339096
0,Clockwise,10,30,19.3458,4.346077
0,Clockwise,10,30,19.40252,4.340149
0,Clockwise,10,30,19.46093,4.344971
0,Clockwise,10,30,19.52461,4.424446
0,Clockwise,10,30,19.6529,4.45929
0,Clockwise,10,30,19.7061,4.459358
0,Clockwise,10,30,19.75423,4.456627
0,Clockwise,10,30,19.80104,2.917694
0,Clockwise,10,30,19.84956,4.440453
0,Clockwise,10,30,19.90693,4.613815
0,Clockwise,10,30,19.95979,4.603088
0,Clockwise,10,30,20.01471,4.604507
0,Clockwise,10,30,20.07093,4.578957
0,Clockwise,10,30,20.12541,4.575424
0,Clockwise,10,30,20.18212,4.572586
0,Clockwise,10,30,20.2401,4.578247
0,Clockwise,10,30,20.30224,4.571854
0,Clockwise,10,30,20.42141,4.576035
0,Clockwise,10,30,20.47546,4.578979
0,Clockwise,10,30,20.52452,4.591644
0,Clockwise,10,30,20.57221,4.592857
0,Clockwise,10,30,20.62563,4.605003
0,Clockwise,10,30,20.67986,4.485382
0,Clockwise,10,30,20.73625,4.486168
0,Clockwise,10,30,20.7914,4.482338
0,Clockwise,10,30,20.8447,4.454361
0,Clockwise,10,30,20.90269,4.411293
0,Clockwise,10,30,20.96023,4.402641
0,Clockwise,10,30,21.01408,4.434456
0,Clockwise,10,30,21.07358,4.440369
0,Clockwise,10,30,21.19878,4.475166
0,Clockwise,10,30,21.24513,4.4664
0,Clockwise,10,30,21.24513,4.44825
0,Clockwise,10,30,21.24513,4.437531
0,Clockwise,10,30,21.24513,4.433708
0,Clockwise,10,30,21.24513,4.43187
0,Clockwise,10,30,21.24513,4.436348
0,Clockwise,10,30,21.24513,4.436401
0,Clockwise,10,30,21.24513,4.449127
0,Clockwise,10,30,21.24513,4.365532
0,Clockwise,10,30,21.24513,4.195717
0,Clockwise,10,30,21.24513,4.332657
0,Clockwise,10,30,21.24513,4.556396
0,Clockwise,10,30,21.24513,4.509155
0,Clockwise,10,30,21.24513,4.463692
0,Clockwise,10,30,21.24513,4.450035
0,Clockwise,10,30,21.24513,4.42704
0,Clockwise,10,30,21.24513,4.428139
0,Clockwise,10,30,21.24513,4.43338
0,Clockwise,10,30,21.24513,4.439857
0,Clockwise,10,30,21.24513,4.450775
0,Clockwise,10,30,21.24513,4.474121
0,Clockwise,10,30,21.24513,4.450699
0,Clockwise,10,30,21.24513,4.4673
0,Clockwise,10,30,21.24513,4.493477
0,Clockwise,10,30,21.24513,4.516235
0,Clockwise,10,30,21.24513,4.519371
0,Clockwise,10,30,21.24513,1.958908
0,Clockwise,10,30,21.24513,4.87574
0,Clockwise,10,30,21.24513,4.524475
0,Clockwise,10,30,21.24513,4.526314
0,Clockwise,10,30,21.24513,4.51387
0,Clockwise,10,30,21.24513,4.50589
0,Clockwise,10,30,21.24513,4.50473
0,Clockwise,10,30,21.24513,4.496353
0,Clockwise,10,30,21.24513,4.500275
0,Clockwise,10,30,21.24513,4.514267
0,Clockwise,10,30,21.24513,4.531136
0,Clockwise,10,30,21.24513,4.491455
0,Clockwise,10,30,21.24513,4.433228
0,Clockwise,10,30,21.24513,4.45845
0,Clockwise,10,30,21.35201,4.469879
0,Clockwise,10,30,21.42122,4.22953
0,Clockwise,10,30,21.49307,4.609276
0,Clockwise,10,30,21.55676,4.45285
0,Clockwise,10,30,21.6176,4.308205
0,Clockwise,10,30,21.76124,4.523521
0,Clockwise,10,30,21.8337,4.54229
0,Clockwise,10,30,21.90393,4.453766
0,Clockwise,10,30,21.96461,4.491829
0,Clockwise,10,30,22.05318,4.444504
0,Clockwise,10,30,22.10986,4.463631
0,Clockwise,10,30,22.15301,4.463852
0,Clockwise,10,30,22.21022,4.467682
0,Clockwise,10,30,22.27196,4.514839
0,Clockwise,10,30,22.32301,4.548874
0,Clockwise,10,30,22.38,4.588158
0,Clockwise,10,30,22.49517,4.642761
0,Clockwise,10,30,22.54389,4.697609
0,Clockwise,10,30,22.59254,4.602631
0,Clockwise,10,30,22.63853,4.622353
0,Clockwise,10,30,22.69385,4.620834
0,Clockwise,10,30,22.74983,4.675415
0,Clockwise,10,30,22.80303,4.587547
0,Clockwise,10,30,22.86181,4.647629
0,Clockwise,10,30,22.91534,4.557991
0,Clockwise,10,30,22.97236,4.568459
0,Clockwise,10,30,23.03138,4.662605
0,Clockwise,10,30,23.08451,4.586853
0,Clockwise,10,30,23.1435,4.637024
0,Clockwise,10,30,23.27249,4.594658
0,Clockwise,10,30,23.32191,4.596733
0,Clockwise,10,30,23.37495,4.566948
0,Clockwise,10,30,23.42111,4.569595
0,Clockwise,10,30,23.47302,4.567688
0,Clockwise,10,30,23.53058,4.595901
0,Clockwise,10,30,23.58266,4.567574
0,Clockwise,10,30,23.64158,4.599396
0,Clockwise,10,30,23.69696,4.598251
0,Clockwise,10,30,23.75126,4.597801
0,Clockwise,10,30,23.84112,4.611465
0,Clockwise,10,30,23.90255,4.657883
0,Clockwise,10,30,24.05303,0
0,Clockwise,10,30,24.10627,0
0,Clockwise,10,30,24.18245,0
0,Clockwise,10,30,24.22946,0
0,Clockwise,10,30,24.27449,0
0,Clockwise,10,30,24.35383,0
0,Clockwise,10,30,24.40017,0
0,Clockwise,10,30,24.48444,0
0,Clockwise,10,30,24.5409,0
0,Clockwise,10,30,24.58517,0
0,Clockwise,10,30,24.67403,1.945663
0,Clockwise,10,30,24.81565,2.34243
0,Clockwise,10,30,24.87536,4.369972
0,Clockwise,10,30,24.9408,3.680847
0,Clockwise,10,30,25.03638,4.514519
0,Clockwise,10,30,25.10322,4.446373
0,Clockwise,10,30,25.19521,4.342537
0,Clockwise,10,30,25.25158,4.309837
0,Clockwise,10,30,25.34679,4.495453
0,Clockwise,10,30,25.40214,4.49099
0,Clockwise,10,30,25.49788,4.1465
0,Clockwise,10,30,25.65098,3.0327
0,Clockwise,10,30,25.69935,4.254875
0,Clockwise,10,30,25.74792,4.159706
0,Clockwise,10,30,25.84063,4.475082
0,Clockwise,10,30,25.88861,4.404045
0,Clockwise,10,30,25.97661,4.425591
0,Clockwise,10,30,26.02241,4.422028
0,Clockwise,10,30,26.08651,4.380348
0,Clockwise,10,30,26.17429,4.469406
0,Clockwise,10,30,26.22764,4.482903
0,Clockwise,10,30,26.3115,4.471916
